drug.antibiotic_name	drug.pubchem_cid	WHO_class	Abx_class	Abx_subclass	drug_class
colistin	5311054	NA	polymyxin	NA	polymyxin
bacitracin	10909430	NA	polypeptide	NA	polypeptides
pyrazinamide	1046	NA	prodrug	NA	prodrug
nalidixic_acid	4421	NA	quinolone	NA	quinolones
rifabutin	6323490	rifamycins	rifamycin	NA	rifamycins
rifampin	NA	NA	NA	NA	rifamycins
clofazimine	2794	NA	riminophenazine	NA	riminophenazine
sulfisoxazole	5344	NA	antibacterial sulfonamide	sulfa drug	sulfonamides
sulfadimethoxine	5323	sulfonamides	antibacterial sulfonamide	sulfa drug	sulfonamides
oxytetracycline	54675779	tetracyclines	NA	NA	tetracyclines
chlortetracycline	54675777	tetracyclines	NA	NA	tetracyclines
tigecycline	54686904	glycylcyclines	tetracycline	NA	tetracyclines
minocycline	54675783	NA	tetracycline	NA	tetracyclines
doxycycline	54671203	tetracyclines	tetracycline	NA	tetracyclines
tetracycline	54675776	tetracyclines	tetracycline	NA	tetracyclines
trimethoprim	5578	trimethoprim-derivatives	diaminopyrimidine	NA	trimethoprim-derivatives
capreomycin	3000502	NA	tuberactinomycin	cyclic peptide often grouped with aminoglycoside	tuberactinomycin
quinupristin/dalfopristin	23724510	NA	NA	NA	streptogramins
trimethoprim/sulfamethoxazole	358641	NA	NA	NA	trimethoprim/sulfonamides
cefoperazone/sulbactam	44187	NA	NA	NA	cephalosporins/sulfonamides
para-aminosalicylic acid	4649	NA	NA	NA	antitubercular
sulphonamides	5333	NA	NA	NA	sulfonamides
ceftazidime/clavulanic acid	5481173	NA	NA	NA	cephalosporins/beta-lactamase-inhibitor
cefotaxime/clavulanic acid	5742673	NA	NA	NA	cephalosporins/beta-lactamase-inhibitor
cephalothin	6024	NA	NA	NA	cephalosporins
timentin	6437075	NA	NA	NA	penicillins
prothionamide	666418	NA	NA	NA	thioamide
nicotinamide	936	NA	NA	NA	niacinamide
